G;Date;Dom_Ext;Opponent;WinLose;Prolong;Tm;Opp;W;L;Streak;Notes
1;27/04/1995;@;Seattle SuperSonics;L;;71;96;0;1;L 1;
2;29/04/1995;@;Seattle SuperSonics;W;;84;82;1;1;W 1;
3;01/05/1995;;Seattle SuperSonics;W;;105;101;2;1;W 2;
4;04/05/1995;;Seattle SuperSonics;W;;114;110;3;1;W 3;
5;06/05/1995;@;San Antonio Spurs;L;;94;110;3;2;L 1;
6;08/05/1995;@;San Antonio Spurs;L;OT;90;97;3;3;L 2;
7;12/05/1995;;San Antonio Spurs;W;;92;85;4;3;W 1;
8;14/05/1995;;San Antonio Spurs;L;;71;80;4;4;L 1;
9;16/05/1995;@;San Antonio Spurs;W;OT;98;96;5;4;W 1;
10;18/05/1995;;San Antonio Spurs;L;;88;100;5;5;L 1;
1;25/04/1996;;Houston Rockets;L;;83;87;0;1;L 1;
2;27/04/1996;;Houston Rockets;W;;104;94;1;1;W 1;
3;30/04/1996;@;Houston Rockets;L;;98;104;1;2;L 1;
4;02/05/1996;@;Houston Rockets;L;;94;102;1;3;L 2;
1;25/04/1997;;Portland Trail Blazers;W;;95;77;1;0;W 1;
2;27/04/1997;;Portland Trail Blazers;W;;107;93;2;0;W 2;
3;30/04/1997;@;Portland Trail Blazers;L;;90;98;2;1;L 1;
4;02/05/1997;@;Portland Trail Blazers;W;;95;91;3;1;W 1;
5;04/05/1997;@;Utah Jazz;L;;77;93;3;2;L 1;
6;06/05/1997;@;Utah Jazz;L;;101;103;3;3;L 2;
7;08/05/1997;;Utah Jazz;W;;104;84;4;3;W 1;
8;10/05/1997;;Utah Jazz;L;;95;110;4;4;L 1;
9;12/05/1997;@;Utah Jazz;L;OT;93;98;4;5;L 2;
1;24/04/1998;;Portland Trail Blazers;W;;104;102;1;0;W 1;
2;26/04/1998;;Portland Trail Blazers;W;;108;99;2;0;W 2;
3;28/04/1998;@;Portland Trail Blazers;L;;94;99;2;1;L 1;
4;30/04/1998;@;Portland Trail Blazers;W;;110;99;3;1;W 1;
5;04/05/1998;@;Seattle SuperSonics;L;;92;106;3;2;L 1;
6;06/05/1998;@;Seattle SuperSonics;W;;92;68;4;2;W 1;
7;08/05/1998;;Seattle SuperSonics;W;;119;103;5;2;W 2;
8;10/05/1998;;Seattle SuperSonics;W;;112;100;6;2;W 3;
9;12/05/1998;@;Seattle SuperSonics;W;;110;95;7;2;W 4;
10;16/05/1998;@;Utah Jazz;L;;77;112;7;3;L 1;
11;18/05/1998;@;Utah Jazz;L;;95;99;7;4;L 2;
12;22/05/1998;;Utah Jazz;L;;98;109;7;5;L 3;
13;24/05/1998;;Utah Jazz;L;;92;96;7;6;L 4;
1;09/05/1999;;Houston Rockets;W;;101;100;1;0;W 1;
2;11/05/1999;;Houston Rockets;W;;110;98;2;0;W 2;
3;13/05/1999;@;Houston Rockets;L;;88;102;2;1;L 1;
4;15/05/1999;@;Houston Rockets;W;;98;88;3;1;W 1;
5;17/05/1999;@;San Antonio Spurs;L;;81;87;3;2;L 1;
6;19/05/1999;@;San Antonio Spurs;L;;76;79;3;3;L 2;
7;22/05/1999;;San Antonio Spurs;L;;91;103;3;4;L 3;
8;23/05/1999;;San Antonio Spurs;L;;107;118;3;5;L 4;
1;23/04/2000;;Sacramento Kings;W;;117;107;1;0;W 1;
2;27/04/2000;;Sacramento Kings;W;;113;89;2;0;W 2;
3;30/04/2000;@;Sacramento Kings;L;;91;99;2;1;L 1;
4;02/05/2000;@;Sacramento Kings;L;;88;101;2;2;L 2;
