G;Date;Dom_Ext;Opponent;WinLose;Prolong;Tm;Opp;W;L;Streak
1;3/11/1995;;Denver Nuggets;W;;98;96;1;0;W 1
2;4/11/1995;@;Seattle SuperSonics;L;;89;103;1;1;L 1
3;7/11/1995;@;Minnesota Timberwolves;L;;92;93;1;2;L 2
4;8/11/1995;@;Utah Jazz;L;;98;108;1;3;L 3
5; 10/11/1995;;Seattle SuperSonics;W;;100;97;2;3;W 1
6; 11/11/1995;@;Golden State Warriors;L;;105;123;2;4;L 1
7; 14/11/1995;@;Sacramento Kings;W;;106;100;3;4;W 1
8; 15/11/1995;;Dallas Mavericks;W;;114;97;4;4;W 2
9; 17/11/1995;@;Vancouver Grizzlies;W;;114;91;5;4;W 3
10; 19/11/1995;;Los Angeles Clippers;W;;109;88;6;4;W 4
11; 21/11/1995;;Portland Trail Blazers;L;;108;109;6;5;L 1
12; 24/11/1995;;Sacramento Kings;L;;98;99;6;6;L 2
13; 25/11/1995;@;Phoenix Suns;L;;113;114;6;7;L 3
14; 29/11/1995;;Phoenix Suns;W;;107;96;7;7;W 1
15;1/12/1995;;Vancouver Grizzlies;W;;113;100;8;7;W 2
16;3/12/1995;;Indiana Pacers;W;;104;96;9;7;W 3
17;5/12/1995;@;San Antonio Spurs;L;;89;117;9;8;L 1
18;6/12/1995;@;Houston Rockets;L;;99;112;9;9;L 2
19;8/12/1995;;Toronto Raptors;W;;120;103;10;9;W 1
20; 10/12/1995;;Detroit Pistons;W;;87;82;11;9;W 2
21; 12/12/1995;@;New York Knicks;L;;82;97;11;10;L 1
22; 13/12/1995;@;Detroit Pistons;W;;101;98;12;10;W 1
23; 15/12/1995;@;Washington Bullets;L;;114;122;12;11;L 1
24; 16/12/1995;@;Chicago Bulls;L;;88;108;12;12;L 2
25; 19/12/1995;@;Milwaukee Bucks;W;;109;105;13;12;W 1
26; 20/12/1995;@;Indiana Pacers;L;;98;109;13;13;L 1
27; 22/12/1995;;Sacramento Kings;W;;116;83;14;13;W 1
28; 23/12/1995;@;Portland Trail Blazers;W;;102;99;15;13;W 2
29; 26/12/1995;;Boston Celtics;W;;102;91;16;13;W 3
30; 28/12/1995;;San Antonio Spurs;L;;99;107;16;14;L 1
31; 30/12/1995;@;Utah Jazz;L;;82;99;16;15;L 2
32;2/1/1996;;Philadelphia 76ers;L;;89;90;16;16;L 3
33;5/1/1996;;Utah Jazz;W;;116;100;17;16;W 1
34;7/1/1996;;Denver Nuggets;L;;93;96;17;17;L 1
35;9/1/1996;;Minnesota Timberwolves;W;;106;104;18;17;W 1
36; 12/1/1996;;Houston Rockets;W;;101;100;19;17;W 2
37; 15/1/1996;;Miami Heat;W;;96;88;20;17;W 3
38; 19/1/1996;@;Los Angeles Clippers;W;;106;100;21;17;W 4
39; 20/1/1996;;Cleveland Cavaliers;L;;82;93;21;18;L 1
40; 24/1/1996;@;Boston Celtics;W;;124;107;22;18;W 1
41; 26/1/1996;@;Philadelphia 76ers;W;;100;88;23;18;W 2
42; 27/1/1996;@;New Jersey Nets;W;;100;98;24;18;W 3
43; 30/1/1996;;Golden State Warriors;W;;128;118;25;18;W 4
44;2/2/1996;;Chicago Bulls;L;;84;99;25;19;L 1
45;4/2/1996;;Utah Jazz;W;;110;103;26;19;W 1
46;6/2/1996;@;Denver Nuggets;W;;99;78;27;19;W 2
47;7/2/1996;;New Jersey Nets;W;;106;96;28;19;W 3
48; 14/2/1996;;Atlanta Hawks;W;;87;86;29;19;W 4
49; 16/2/1996;;Dallas Mavericks;W;;119;114;30;19;W 5
50; 20/2/1996;;Los Angeles Clippers;W;;121;104;31;19;W 6
51; 21/2/1996;@;Los Angeles Clippers;W;;112;108;32;19;W 7
52; 23/2/1996;@;Dallas Mavericks;W;;114;88;33;19;W 8
53; 24/2/1996;@;Houston Rockets;L;;94;96;33;20;L 1
54; 26/2/1996;;New York Knicks;W;;114;96;34;20;W 1
55; 28/2/1996;@;Vancouver Grizzlies;W;;99;80;35;20;W 2
56;1/3/1996;;Washington Bullets;W;;100;95;36;20;W 3
57;3/3/1996;;Houston Rockets;L;;107;111;36;21;L 1
58;7/3/1996;@;Sacramento Kings;W;;102;89;37;21;W 1
59;8/3/1996;@;Phoenix Suns;W;;119;97;38;21;W 2
60; 12/3/1996;;Portland Trail Blazers;L;;99;105;38;22;L 1
