Rk;G;Date;Age;Tm;Home_Away;Opp;Win_Loss;GS;MP;FG;FGA;FGpct;3P;3PA;3Ppct;FT;FTA;FTpct;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;plus_moins
1;1;25/04/1997;18-245;LAL;;POR;W (+18);0;01:00;1;1;1.000;0;0;;0;0;;0;0;0;0;0;0;0;0;2;1.7;
2;2;27/04/1997;18-247;LAL;;POR;W (+14);0;05:00;1;3;.333;0;1;.000;4;4;1.000;0;0;0;0;0;0;0;1;6;3.9;
3;3;30/04/1997;18-250;LAL;@;POR;L (-8);0;27:00:00;7;13;.538;2;3;.667;6;8;.750;0;4;4;2;1;0;4;5;22;12.5;
4;4;02/05/1997;18-252;LAL;@;POR;W (+4);0;06:00;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0.0;
5;5;04/05/1997;18-254;LAL;@;UTA;L (-16);0;14:00;1;7;.143;1;5;.200;0;1;.000;1;1;2;3;0;1;0;5;3;-0.1;
6;6;06/05/1997;18-256;LAL;@;UTA;L (-2);0;04:00;1;1;1.000;0;0;;0;0;;0;0;0;1;0;0;1;2;2;0.6;
7;7;08/05/1997;18-258;LAL;;UTA;W (+20);0;19:00;3;7;.429;0;2;.000;13;14;.929;0;1;1;3;1;1;3;3;19;14.8;
8;8;10/05/1997;18-260;LAL;;UTA;L (-15);0;28:00:00;3;9;.333;3;6;.500;0;0;;0;2;2;0;0;0;5;4;9;-2.1;
9;9;12/05/1997;18-262;LAL;@;UTA;L (-5);0;29:00:00;4;14;.286;0;6;.000;3;3;1.000;0;2;2;2;1;0;1;3;11;3.6;
1;1;24/04/1998;19-244;LAL;;POR;W (+2);0;27:00:00;4;9;.444;1;1;1.000;6;9;.667;0;1;1;4;1;2;0;5;15;12.6;
2;2;26/04/1998;19-246;LAL;;POR;W (+9);0;24:00:00;2;7;.286;0;0;;0;0;;0;3;3;4;0;1;1;2;4;2.5;
3;3;28/04/1998;19-248;LAL;@;POR;L (-5);0;16:00;1;6;.167;0;2;.000;2;2;1.000;3;2;5;0;0;0;1;3;4;0.7;
4;4;30/04/1998;19-250;LAL;@;POR;W (+11);0;36:00:00;9;16;.563;1;1;1.000;3;4;.750;0;3;3;4;0;1;1;4;22;15.8;
5;5;04/05/1998;19-254;LAL;@;SEA;L (-14);0;16:00;1;5;.200;0;2;.000;2;4;.500;1;0;1;0;1;1;0;2;4;1.7;
6;6;10/05/1998;19-260;LAL;;SEA;W (+12);0;03:00;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0.0;
7;7;12/05/1998;19-262;LAL;@;SEA;W (+15);0;11:00;3;3;1.000;1;1;1.000;0;0;;0;1;1;0;0;1;1;2;7;5.3;
8;8;16/05/1998;19-266;LAL;@;UTA;L (-35);0;31:00:00;4;14;.286;0;5;.000;8;12;.667;2;2;4;2;0;1;0;0;16;10.3;
9;9;18/05/1998;19-268;LAL;@;UTA;L (-4);0;22:00;3;10;.300;0;1;.000;3;4;.750;1;1;2;1;0;0;2;3;9;1.3;
10;10;22/05/1998;19-272;LAL;;UTA;L (-11);0;15:00;2;4;.500;0;1;.000;5;7;.714;0;0;0;1;0;0;2;4;9;3.3;
11;11;24/05/1998;19-274;LAL;;UTA;L (-4);0;19:00;2;2;1.000;0;0;;2;3;.667;0;1;1;0;1;1;3;3;6;2.8;
1;1;09/05/1999;20-259;LAL;;HOU;W (+1);1;28:00:00;5;9;.556;1;1;1.000;6;6;1.000;0;5;5;5;0;1;2;4;17;14.8;
2;2;11/05/1999;20-261;LAL;;HOU;W (+12);1;38:00:00;8;15;.533;1;3;.333;2;2;1.000;2;7;9;5;3;1;4;1;19;18.0;
3;3;13/05/1999;20-263;LAL;@;HOU;L (-14);1;35:00:00;5;17;.294;1;4;.250;2;2;1.000;4;5;9;5;2;4;3;3;13;11.5;
