Rk;G;Date;Age;Tm;Home_Away;Opp;Win_Loss;GS;MP;FG;FGA;FGpct;3P;3PA;3Ppct;FT;FTA;FTpct;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;plus_moins
1;1;03/11/1996;18-072;LAL;;MIN;W (+6);0;06:00;0;1;.000;0;0;;0;0;;0;1;1;0;0;1;1;1;0;-1.1;
2;2;05/11/1996;18-074;LAL;@;NYK;W (+6);0;03:00;0;1;.000;0;0;;1;2;.500;0;0;0;0;0;0;1;0;1;-1.1;
3;3;06/11/1996;18-075;LAL;@;CHH;L (-10);0;07:00;2;3;.667;1;2;.500;0;0;;0;0;0;0;0;0;3;0;5;0.7;
4;4;08/11/1996;18-077;LAL;@;TOR;L (-1);0;17:00;3;8;.375;2;3;.667;2;4;.500;0;3;3;0;0;1;0;3;10;5.2;
5;5;10/11/1996;18-079;LAL;;ATL;W (+7);0;08:00;0;3;.000;0;0;;2;2;1.000;1;2;3;1;0;0;0;0;2;1.9;
6;6;12/11/1996;18-081;LAL;@;HOU;W (+11);0;05:00;1;2;.500;0;1;.000;0;0;;0;1;1;0;0;0;2;0;2;-0.7;
7;7;13/11/1996;18-082;LAL;@;SAS;L (-12);0;06:00;2;2;1.000;1;1;1.000;1;1;1.000;0;0;0;0;1;0;0;2;6;5.6;
8;8;15/11/1996;18-084;LAL;;LAC;W (+7);0;07:00;1;4;.250;0;2;.000;2;3;.667;0;0;0;0;0;0;1;4;4;-1.4;
9;9;17/11/1996;18-086;LAL;@;PHO;W (+14);0;14:00;5;8;.625;4;6;.667;2;2;1.000;2;0;2;2;0;0;4;2;16;10.4;
10;10;19/11/1996;18-088;LAL;@;GSW;W (+3);0;08:00;0;2;.000;0;1;.000;3;4;.750;0;2;2;1;0;0;1;2;3;0.7;
11;11;20/11/1996;18-089;LAL;;UTA;L (-16);0;21:00;4;5;.800;3;3;1.000;0;0;;0;1;1;1;0;1;2;1;11;8.4;
12;12;26/11/1996;18-095;LAL;@;PHI;W (+12);0;21:00;4;10;.400;2;5;.400;2;2;1.000;0;1;1;1;0;0;3;1;12;4.2;
13;13;27/11/1996;18-096;LAL;@;BOS;L (-16);0;20:00;1;7;.143;0;3;.000;0;0;;1;3;4;1;0;1;2;3;2;-2.7;
14;14;29/11/1996;18-098;LAL;@;DET;W (+8);0;07:00;0;1;.000;0;0;;1;2;.500;1;0;1;0;0;1;0;1;1;0.9;
15;15;01/12/1996;18-100;LAL;;DEN;W (+8);0;03:00;1;2;.500;0;0;;0;0;;0;1;1;0;0;0;1;0;2;0.3;
16;16;04/12/1996;18-103;LAL;@;UTA;L (-26);0;13:00;2;6;.333;0;0;;4;6;.667;1;2;3;2;0;0;1;1;8;5.1;
17;17;08/12/1996;18-107;LAL;;MIN;W (+24);0;22:00;3;10;.300;0;3;.000;5;6;.833;2;1;3;3;2;2;3;2;11;8.2;
18;18;10/12/1996;18-109;LAL;@;SAC;W (+2);0;06:00;0;1;.000;0;1;.000;0;0;;0;1;1;1;1;0;1;0;0;0.3;
19;19;17/12/1996;18-116;LAL;@;CHI;L (-6);0;10:00;2;5;.400;1;2;.500;0;2;.000;0;1;1;0;0;1;0;1;5;2.1;
20;20;18/12/1996;18-117;LAL;@;MIL;W (+6);0;08:00;0;0;;0;0;;0;0;;2;1;3;1;0;1;1;0;0;2.1;
21;21;21/12/1996;18-120;LAL;@;MIN;L (-15);0;11:00;2;3;.667;1;2;.500;0;0;;0;1;1;0;0;1;3;2;5;0.9;
22;22;25/12/1996;18-124;LAL;@;PHO;W (+21);0;05:00;0;2;.000;0;1;.000;0;0;;0;1;1;0;0;0;0;1;0;-1.5;
23;23;29/12/1996;18-128;LAL;;PHI;W (+13);0;07:00;0;1;.000;0;0;;0;0;;0;1;1;0;1;0;1;3;0;-1.6;
24;24;02/01/1997;18-132;LAL;@;SAC;W (+7);0;10:00;2;3;.667;0;1;.000;0;0;;0;1;1;2;1;0;0;3;4;4.2;
25;25;03/01/1997;18-133;LAL;;SAC;W (+7);0;22:00;6;10;.600;0;2;.000;9;10;.900;2;3;5;1;2;2;0;1;21;22.0;
26;26;05/01/1997;18-135;LAL;@;VAN;W (+13);0;29:00:00;6;9;.667;1;1;1.000;3;4;.750;3;2;5;3;1;0;2;3;16;14.3;
27;27;06/01/1997;18-136;LAL;@;POR;L (-4);0;23:00;3;9;.333;1;3;.333;1;2;.500;0;2;2;2;2;0;2;3;8;3.3;
28;28;08/01/1997;18-138;LAL;;CHH;W (+4);0;22:00;4;13;.308;0;2;.000;1;2;.500;1;0;1;2;2;1;2;2;9;3.1;
29;29;10/01/1997;18-140;LAL;;MIA;W (+9);0;08:00;1;3;.333;0;1;.000;0;0;;1;2;3;0;0;0;2;0;2;-0.4;
30;30;14/01/1997;18-144;LAL;;VAN;W (+10);0;06:00;1;6;.167;0;2;.000;0;0;;0;0;0;0;1;0;0;1;2;-1.2;
31;31;18/01/1997;18-148;LAL;;DET;L (-3);0;32:00:00;8;13;.615;3;5;.600;2;2;1.000;0;2;2;5;1;0;4;1;21;15.8;
